Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Rank of ZIP Code Discharges,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C)
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02021,59,"Canton, MA",Canton,MA,Norfolk County,16.5,79,9978,2854,0.007917418,0.027680448
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02090,59,"Westwood, MA",Westwood,MA,Norfolk County,16.5,79,9978,1636,0.007917418,0.048288509
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02072,59,"Stoughton, MA",Stoughton,MA,Norfolk County,18,74,9978,3994,0.007416316,0.018527792
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02048,59,"Mansfield, MA",Mansfield,MA,Bristol County,19.5,70,9978,1966,0.007015434,0.03560529
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02186,59,"Milton, MA",Milton,MA,Norfolk County,19.5,70,9978,2672,0.007015434,0.026197605
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02169,59,"Quincy, MA",Quincy,MA,Norfolk County,21.5,67,9978,7368,0.006714772,0.009093377
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02368,59,"Randolph, MA",Randolph,MA,Norfolk County,21.5,67,9978,4280,0.006714772,0.015654206
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02125,59,"Dorchester, MA",Dorchester,MA,Suffolk County,23.5,65,9978,3535,0.006514332,0.018387553
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02459,59,"Newton Center, MA",Newton Center,MA,Middlesex County,23.5,65,9978,1351,0.006514332,0.048112509
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02115,59,"Boston, MA",Boston,MA,Suffolk County,25,64,9978,1466,0.006414111,0.043656207
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02135,59,"Brighton, MA",Brighton,MA,Suffolk County,26.5,60,9978,3538,0.006013229,0.016958734
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02446,59,"Brookline, MA",Brookline,MA,Norfolk County,26.5,60,9978,2118,0.006013229,0.028328612
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02120,59,"Roxbury Crossing, MA",Roxbury Crossing,MA,Suffolk County,28.5,58,9978,1295,0.005812788,0.044787645
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02122,59,"Dorchester, MA",Dorchester,MA,Suffolk County,28.5,58,9978,2581,0.005812788,0.02247191
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02067,59,"Sharon, MA",Sharon,MA,Norfolk County,30,52,9978,1417,0.005211465,0.036697248
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02780,59,"Taunton, MA",Taunton,MA,Bristol County,31,51,9978,7200,0.005111245,0.007083333
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02127,59,"Boston, MA",Boston,MA,Suffolk County,32.5,50,9978,3350,0.005011024,0.014925373
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02703,59,"Attleboro, MA",Attleboro,MA,Bristol County,32.5,50,9978,4609,0.005011024,0.01084834
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02766,59,"Norton, MA",Norton,MA,Bristol County,34,44,9978,1890,0.004409701,0.023280423
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02492,59,"Needham, MA",Needham,MA,Norfolk County,35,40,9978,1823,0.004008819,0.021941854
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02148,59,"Malden, MA",Malden,MA,Middlesex County,36,39,9978,6340,0.003908599,0.00615142
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02114,59,"Boston, MA",Boston,MA,Suffolk County,38,37,9978,1296,0.003708158,0.028549383
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02360,59,"Plymouth, MA",Plymouth,MA,Plymouth County,38,37,9978,6947,0.003708158,0.00532604
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02760,59,"North Attleboro, MA",North Attleboro,MA,Bristol County,38,37,9978,2181,0.003708158,0.016964695
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02184,59,"Braintree, MA",Braintree,MA,Norfolk County,40,36,9978,4801,0.003607937,0.007498438
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02056,59,"Norfolk, MA",Norfolk,MA,Norfolk County,41.5,35,9978,934,0.003507717,0.037473233
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02139,59,"Cambridge, MA",Cambridge,MA,Middlesex County,41.5,35,9978,2416,0.003507717,0.014486755
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02128,59,"Boston, MA",Boston,MA,Suffolk County,43,34,9978,4007,0.003407496,0.008485151
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02038,59,"Franklin, MA",Franklin,MA,Norfolk County,45.5,33,9978,2727,0.003307276,0.01210121
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02043,59,"Hingham, MA",Hingham,MA,Plymouth County,45.5,33,9978,2711,0.003307276,0.01217263
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02093,59,"Wrentham, MA",Wrentham,MA,Norfolk County,45.5,33,9978,1413,0.003307276,0.023354565
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02301,59,"Brockton, MA",Brockton,MA,Plymouth County,45.5,33,9978,11364,0.003307276,0.002903907
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,01760,59,"Natick, MA",Natick,MA,Middlesex County,48.5,32,9978,3276,0.003207056,0.00976801
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02302,59,"Brockton, MA",Brockton,MA,Plymouth County,48.5,32,9978,4728,0.003207056,0.00676819
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02116,59,"Boston, MA",Boston,MA,Suffolk County,51.5,30,9978,1710,0.003006615,0.01754386
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02155,59,"Medford, MA",Medford,MA,Middlesex County,51.5,30,9978,5871,0.003006615,0.005109862
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02171,59,"Quincy, MA",Quincy,MA,Norfolk County,51.5,30,9978,1850,0.003006615,0.016216216
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02189,59,"East Weymouth, MA",East Weymouth,MA,Norfolk County,51.5,30,9978,2095,0.003006615,0.014319809
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02190,59,"South Weymouth, MA",South Weymouth,MA,Norfolk County,54,28,9978,2385,0.002806174,0.011740042
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02045,59,"Hull, MA",Hull,MA,Plymouth County,55,26,9978,1362,0.002605733,0.019089574
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01550,68,"Southbridge, MA",Southbridge,MA,Worcester County,1,1373,4626,2357,0.296800692,0.582520153
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01570,68,"Webster, MA",Webster,MA,Worcester County,2,759,4626,2441,0.164072633,0.31093814
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01571,68,"Dudley, MA",Dudley,MA,Worcester County,3,322,4626,996,0.069606572,0.323293173
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01507,68,"Charlton, MA",Charlton,MA,Worcester County,4,291,4626,1226,0.062905318,0.237357259
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01566,68,"Sturbridge, MA",Sturbridge,MA,Worcester County,5,261,4626,667,0.056420233,0.391304348
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01506,68,"Brookfield, MA",Brookfield,MA,Worcester County,6,134,4626,406,0.02896671,0.330049261
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01521,68,"Holland, MA",Holland,MA,Hampden County,7.5,121,4626,214,0.026156507,0.565420561
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01562,68,"Spencer, MA",Spencer,MA,Worcester County,7.5,121,4626,1295,0.026156507,0.093436293
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01518,68,"Fiskdale, MA",Fiskdale,MA,Worcester County,9,116,4626,304,0.025075659,0.381578947
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01540,68,"Oxford, MA",Oxford,MA,Worcester County,10,111,4626,1258,0.023994812,0.088235294
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01535,68,"North Brookfield, MA",North Brookfield,MA,Worcester County,11,102,4626,443,0.022049287,0.230248307
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01010,68,"Brimfield, MA",Brimfield,MA,Hampden County,12,94,4626,404,0.020319931,0.232673267
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01585,68,"West Brookfield, MA",West Brookfield,MA,Worcester County,13,78,4626,457,0.016861219,0.170678337
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01083,68,"Warren, MA",Warren,MA,Worcester County,14,56,4626,291,0.012105491,0.192439863
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01515,68,"East Brookfield, MA",East Brookfield,MA,Worcester County,15,44,4626,233,0.009511457,0.188841202
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01081,68,"Wales, MA",Wales,MA,Hampden County,16.5,39,4626,169,0.00843061,0.230769231
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01082,68,"Ware, MA",Ware,MA,Hampshire County,20,27,4626,1131,0.005836576,0.023872679
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01501,68,"Auburn, MA",Auburn,MA,Worcester County,21,26,4626,1830,0.005620406,0.01420765
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01420,71,"Fitchburg, MA",Fitchburg,MA,Worcester County,1,2934,7718,5182,0.380150298,0.56619066
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01453,71,"Leominster, MA",Leominster,MA,Worcester County,2,2495,7718,4601,0.323270277,0.542273419
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01462,71,"Lunenburg, MA",Lunenburg,MA,Worcester County,3,372,7718,1125,0.048199015,0.330666667
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01440,71,"Gardner, MA",Gardner,MA,Worcester County,4,208,7718,2612,0.026949987,0.079632466
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01473,71,"Westminster, MA",Westminster,MA,Worcester County,5,198,7718,656,0.025654315,0.301829268
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01510,71,"Clinton, MA",Clinton,MA,Worcester County,6,120,7718,1540,0.015548069,0.077922078
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01430,71,"Ashburnham, MA",Ashburnham,MA,Worcester County,7,119,7718,550,0.015418502,0.216363636
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01469,71,"Townsend, MA",Townsend,MA,Middlesex County,8,114,7718,646,0.014770666,0.176470588
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01431,71,"Ashby, MA",Ashby,MA,Middlesex County,9,107,7718,284,0.013863695,0.376760563
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01564,71,"Sterling, MA",Sterling,MA,Worcester County,10,93,7718,650,0.012049754,0.143076923
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01475,71,"Winchendon, MA",Winchendon,MA,Worcester County,11.5,90,7718,1120,0.011661052,0.080357143
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01523,71,"Lancaster, MA",Lancaster,MA,Worcester County,11.5,90,7718,595,0.011661052,0.151260504
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01331,71,"Athol, MA",Athol,MA,Worcester County,13,76,7718,1928,0.009847111,0.039419087
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01545,71,"Shrewsbury, MA",Shrewsbury,MA,Worcester County,14,73,7718,3204,0.009458409,0.02278402
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01464,71,"Shirley, MA",Shirley,MA,Middlesex County,15,71,7718,641,0.009199274,0.110764431
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01474,71,"West Townsend, MA",West Townsend,MA,Middlesex County,16,56,7718,209,0.007255766,0.267942584
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01432,71,"Ayer, MA",Ayer,MA,Middlesex County,17,40,7718,1075,0.00518269,0.037209302
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01468,71,"Templeton, MA",Templeton,MA,Worcester County,18,38,7718,395,0.004923555,0.096202532
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01364,71,"Orange, MA",Orange,MA,Franklin County,19,29,7718,953,0.00375745,0.03043022
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01436,71,"Baldwinville, MA",Baldwinville,MA,Worcester County,20,28,7718,395,0.003627883,0.070886076
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01463,71,"Pepperell, MA",Pepperell,MA,Middlesex County,21.5,26,7718,956,0.003368748,0.027196653
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01541,71,"Princeton, MA",Princeton,MA,Worcester County,21.5,26,7718,258,0.003368748,0.100775194
Heywood Hospital,Heywood Healthcare,Community Hospital,01440,73,"Gardner, MA",Gardner,MA,Worcester County,1,1336,4567,2612,0.292533392,0.511485452
Heywood Hospital,Heywood Healthcare,Community Hospital,01331,73,"Athol, MA",Athol,MA,Worcester County,2,602,4567,1928,0.131815196,0.312240664
Heywood Hospital,Heywood Healthcare,Community Hospital,01475,73,"Winchendon, MA",Winchendon,MA,Worcester County,3,580,4567,1120,0.126998029,0.517857143
Heywood Hospital,Heywood Healthcare,Community Hospital,01364,73,"Orange, MA",Orange,MA,Franklin County,4,247,4567,953,0.054083644,0.259181532
Heywood Hospital,Heywood Healthcare,Community Hospital,01436,73,"Baldwinville, MA",Baldwinville,MA,Worcester County,5,227,4567,395,0.049704401,0.574683544
Heywood Hospital,Heywood Healthcare,Community Hospital,01420,73,"Fitchburg, MA",Fitchburg,MA,Worcester County,6,193,4567,5182,0.042259689,0.037244307
Heywood Hospital,Heywood Healthcare,Community Hospital,01468,73,"Templeton, MA",Templeton,MA,Worcester County,7,172,4567,395,0.037661485,0.435443038
Heywood Hospital,Heywood Healthcare,Community Hospital,01430,73,"Ashburnham, MA",Ashburnham,MA,Worcester County,8,153,4567,550,0.033501204,0.278181818
Heywood Hospital,Heywood Healthcare,Community Hospital,01473,73,"Westminster, MA",Westminster,MA,Worcester County,9,145,4567,656,0.031749507,0.221036585
Heywood Hospital,Heywood Healthcare,Community Hospital,01452,73,"Hubbardston, MA",Hubbardston,MA,Worcester County,10,102,4567,382,0.022334136,0.267015707
Heywood Hospital,Heywood Healthcare,Community Hospital,01453,73,"Leominster, MA",Leominster,MA,Worcester County,11,85,4567,4601,0.01861178,0.018474245
Heywood Hospital,Heywood Healthcare,Community Hospital,01005,73,"Barre, MA",Barre,MA,Worcester County,13,32,4567,480,0.007006788,0.066666667
Heywood Hospital,Heywood Healthcare,Community Hospital,01366,73,"Petersham, MA",Petersham,MA,Worcester County,13,32,4567,110,0.007006788,0.290909091
Heywood Hospital,Heywood Healthcare,Community Hospital,01368,73,"Royalston, MA",Royalston,MA,Worcester County,13,32,4567,93,0.007006788,0.344086022
Heywood Hospital,Heywood Healthcare,Community Hospital,01438,73,"East Templeton, MA",East Templeton,MA,Worcester County,16,28,4567,63,0.006130939,0.444444444
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01844,75,"Methuen, MA",Methuen,MA,Essex County,1,2506,13440,6162,0.186458333,0.406686141
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01830,75,"Haverhill, MA",Haverhill,MA,Essex County,2,1986,13440,4242,0.147767857,0.468175389
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01841,75,"Lawrence, MA",Lawrence,MA,Essex County,3,1761,13440,6576,0.131026786,0.267791971
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01832,75,"Haverhill, MA",Haverhill,MA,Essex County,5,999,13440,2705,0.074330357,0.369316081
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01843,75,"Lawrence, MA",Lawrence,MA,Essex County,6,706,13440,3234,0.052529762,0.218305504
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01835,75,"Haverhill, MA",Haverhill,MA,Essex County,7,536,13440,1516,0.039880952,0.353562005
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01845,75,"North Andover, MA",North Andover,MA,Essex County,8,428,13440,3158,0.031845238,0.135528816
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01810,75,"Andover, MA",Andover,MA,Essex County,9,358,13440,2923,0.026636905,0.122476907
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01834,75,"Groveland, MA",Groveland,MA,Essex County,11,170,13440,726,0.01264881,0.23415978
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01840,75,"Lawrence, MA",Lawrence,MA,Essex County,14,96,13440,926,0.007142857,0.103671706
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",02780,75,"Taunton, MA",Taunton,MA,Bristol County,17,91,13440,7200,0.006770833,0.012638889
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01826,75,"Dracut, MA",Dracut,MA,Middlesex County,18,88,13440,3523,0.006547619,0.024978711
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01913,75,"Amesbury, MA",Amesbury,MA,Essex County,19,74,13440,1950,0.005505952,0.037948718
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",02301,75,"Brockton, MA",Brockton,MA,Plymouth County,20,73,13440,11364,0.005431548,0.006423794
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01860,75,"Merrimac, MA",Merrimac,MA,Essex County,21.5,67,13440,651,0.004985119,0.102918587
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01833,75,"Georgetown, MA",Georgetown,MA,Essex County,23,66,13440,811,0.004910714,0.081381011
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01852,75,"Lowell, MA",Lowell,MA,Middlesex County,24,53,13440,4670,0.003943452,0.011349036
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01952,75,"Salisbury, MA",Salisbury,MA,Essex County,25,48,13440,1133,0.003571429,0.042365402
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01950,75,"Newburyport, MA",Newburyport,MA,Essex County,28,36,13440,1908,0.002678571,0.018867925
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01876,75,"Tewksbury, MA",Tewksbury,MA,Middlesex County,31,32,13440,3802,0.002380952,0.008416623
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",02721,75,"Fall River, MA",Fall River,MA,Bristol County,34,28,13440,4839,0.002083333,0.005786319
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01040,77,"Holyoke, MA",Holyoke,MA,Hampden County,1,2971,6529,6418,0.455046715,0.462916797
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01020,77,"Chicopee, MA",Chicopee,MA,Hampden County,2,727,6529,4081,0.111349364,0.178142612
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01075,77,"South Hadley, MA",South Hadley,MA,Hampshire County,3,674,6529,1937,0.103231735,0.347960764
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01013,77,"Chicopee, MA",Chicopee,MA,Hampden County,4,506,6529,3151,0.077500383,0.160583942
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01027,77,"Easthampton, MA",Easthampton,MA,Hampshire County,5,159,6529,1890,0.024352887,0.084126984
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01085,77,"Westfield, MA",Westfield,MA,Hampden County,6,156,6529,4443,0.023893399,0.035111411
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01089,77,"West Springfield, MA",West Springfield,MA,Hampden County,7,149,6529,3651,0.022821259,0.040810737
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01033,77,"Granby, MA",Granby,MA,Hampshire County,8,134,6529,581,0.020523817,0.230636833
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01041,77,"Holyoke, MA",Holyoke,MA,Hampden County,9,66,6529,88,0.010108746,0.75
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01108,77,"Springfield, MA",Springfield,MA,Hampden County,10,64,6529,3777,0.00980242,0.016944665
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01109,77,"Springfield, MA",Springfield,MA,Hampden County,11,61,6529,4253,0.009342932,0.014342817
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01104,77,"Springfield, MA",Springfield,MA,Hampden County,12,54,6529,3556,0.008270792,0.015185602
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01073,77,"Southampton, MA",Southampton,MA,Hampshire County,13,50,6529,516,0.007658141,0.096899225
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01022,77,"Chicopee, MA",Chicopee,MA,Hampden County,14.5,47,6529,238,0.007198652,0.197478992
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01060,77,"Northampton, MA",Northampton,MA,Hampshire County,14.5,47,6529,1619,0.007198652,0.029030266
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01007,77,"Belchertown, MA",Belchertown,MA,Hampshire County,16.5,43,6529,1150,0.006586001,0.037391304
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01105,77,"Springfield, MA",Springfield,MA,Hampden County,16.5,43,6529,2087,0.006586001,0.020603737
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01056,77,"Ludlow, MA",Ludlow,MA,Hampden County,18,40,6529,2228,0.006126512,0.017953321
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01107,77,"Springfield, MA",Springfield,MA,Hampden County,19,36,6529,1743,0.005513861,0.020654045
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01118,77,"Springfield, MA",Springfield,MA,Hampden County,20,35,6529,1690,0.005360698,0.020710059
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01002,77,"Amherst, MA",Amherst,MA,Hampshire County,21,30,6529,1647,0.004594884,0.018214936
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01030,77,"Feeding Hills, MA",Feeding Hills,MA,Hampden County,22,28,6529,1150,0.004288559,0.024347826
Holyoke Medical Center,Not Applicable,"Community, High Public Payer",01119,77,"Springfield, MA",Springfield,MA,Hampden County,23,27,6529,1628,0.004135396,0.016584767
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02360,79,"Plymouth, MA",Plymouth,MA,Plymouth County,1,4147,10953,6947,0.37861773,0.596948323
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02330,79,"Carver, MA",Carver,MA,Plymouth County,2,894,10953,1633,0.081621474,0.547458665
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02364,79,"Kingston, MA",Kingston,MA,Plymouth County,3,725,10953,1580,0.066191911,0.458860759
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02346,79,"Middleboro, MA",Middleboro,MA,Plymouth County,4,709,10953,3238,0.064731124,0.218962322
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02050,79,"Marshfield, MA",Marshfield,MA,Plymouth County,5,466,10953,2688,0.042545421,0.173363095
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02332,79,"Duxbury, MA",Duxbury,MA,Plymouth County,6,449,10953,1312,0.040993335,0.34222561
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02359,79,"Pembroke, MA",Pembroke,MA,Plymouth County,7,274,10953,1884,0.025015977,0.145435244
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02532,79,"Buzzards Bay, MA",Buzzards Bay,MA,Barnstable County,8,241,10953,1603,0.022003104,0.150343107
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02338,79,"Halifax, MA",Halifax,MA,Plymouth County,9,216,10953,948,0.019720624,0.227848101
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02563,79,"Sandwich, MA",Sandwich,MA,Barnstable County,10,193,10953,1142,0.017620743,0.169001751
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02367,79,"Plympton, MA",Plympton,MA,Plymouth County,11,184,10953,373,0.01679905,0.493297587
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02562,79,"Sagamore Beach, MA",Sagamore Beach,MA,Barnstable County,12,156,10953,361,0.014242673,0.432132964
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02571,79,"Wareham, MA",Wareham,MA,Plymouth County,13,95,10953,1797,0.008673423,0.052865888
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02649,79,"Mashpee, MA",Mashpee,MA,Barnstable County,14,94,10953,1975,0.008582124,0.047594937
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02347,79,"Lakeville, MA",Lakeville,MA,Plymouth County,15.5,70,10953,1154,0.006390943,0.060658579
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02537,79,"East Sandwich, MA",East Sandwich,MA,Barnstable County,15.5,70,10953,524,0.006390943,0.133587786
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02341,79,"Hanson, MA",Hanson,MA,Plymouth County,17,63,10953,1304,0.005751849,0.048312883
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02644,79,"Forestdale, MA",Forestdale,MA,Barnstable County,18,58,10953,414,0.005295353,0.140096618
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02538,79,"East Wareham, MA",East Wareham,MA,Plymouth County,19,52,10953,669,0.004747558,0.077727952
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02601,79,"Hyannis, MA",Hyannis,MA,Barnstable County,20,51,10953,2345,0.004656259,0.021748401
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02331,79,"Duxbury, MA",Duxbury,MA,Plymouth County,21,48,10953,150,0.004382361,0.32
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02536,79,"East Falmouth, MA",East Falmouth,MA,Barnstable County,22,47,10953,2623,0.004291062,0.017918414
Beth Israel Deaconess Hospital - Plymouth,CareGroup,"Community, High Public Payer",02339,79,"Hanover, MA",Hanover,MA,Plymouth County,23,45,10953,1416,0.004108463,0.031779661
