Indicator,Name,ORGID ,FACID ,Cohort,Fiscal Year,Value
Operating Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY16,53242796
Operating Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY17,54723070
Operating Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY18,57703166
Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY14,233994314
Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY15,242080862
Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY16,239616125.3
Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY17,238992184
Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY18,241872000
Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY14,426902000
Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY15,444022000
Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY16,434088000
Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY17,453023000
Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY18,504737000
Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY14,416664000
Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY15,419399000
Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY16,419150000
Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY17,413688000
Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY18,422757000
Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY14,333031000
Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY15,346287630
Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY16,349450972
Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY17,350217172
Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY18,373374300
Operating Revenue,Quincy Medical Center,112,2151,Community High Public Payer Hospital,FY14,68553166
Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY14,418245520
Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY15,431338999
Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY16,458102751
Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY17,460909229
Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY18,496115479
Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY14,6491160
Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY15,3747929
Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY16,5220897
Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY17,2540027
Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY18,8386000
Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY14,4894303
Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY15,5612428
Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY16,8818836
Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY17,13457047
Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY18,12183000
Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY14,237747790
Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY15,259960103
Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY16,267960772
Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY17,282856998
Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY18,287865150
Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY14,495137097
Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY15,536070673
Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY16,573317023
Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY17,594278120
Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY18,615336986
Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY14,730212464
Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY15,807495164
Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY16,815776940
Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY17,810228147
Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY18,827945833
Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY14,91344922
Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY15,114614565
Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY16,123397604
Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY17,119828725
Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY18,116302614
Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY14,246894774
Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY15,260587072
Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY16,273690934
Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY17,276358733
Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY18,298706871
Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY14,202035527
Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY15,234889247
Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY16,232846544
Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY17,236685837
Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY18,248175066
Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY14,173824907
Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY15,181377116
Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY16,189028805
Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY17,189789728
Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY18,192949225
Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY14,234171119
Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY15,252970498
Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY16,264512876
Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY17,264031918
Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY18,276210406
Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY14,311955977
Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY15,326318237
Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY16,334316797
Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY17,360234687
Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY18,381003257
Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY14,164885352
Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY15,165469325
Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY16,170801140
Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY17,178576294
Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY18,190691413
Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY14,685082169
Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY15,689285829
Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY16,740342958
Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY17,787247000
Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY18,873987000
Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY14,1520700000
Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY15,1516157000
Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY16,1621500000
Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY17,1686387000
Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY18,1731287000
Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY14,266826357
Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY15,273886007
Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY16,281496074
Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY17,273532383
Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY18,270301159
Non-Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY14,-257185
Non-Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY15,154775
Non-Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY16,-496042
Non-Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY17,1701996
Non-Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY18,396339
Non-Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY14,78808
Non-Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY15,93390
Non-Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY16,63236
Non-Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY17,-31982
Non-Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY18,30671
Non-Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY14,331000
Non-Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY15,4728000
Non-Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY16,401000
Non-Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY17,977000
Non-Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY18,195000
Non-Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY14,27893000
Non-Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY15,26070000
Non-Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY16,40253000
Non-Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY17,42283000
Non-Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY18,13250000
Non-Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY14,137459
Non-Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY15,149237
Non-Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY16,83066
Non-Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY17,77642
Non-Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY18,3000
Non-Operating Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY14,499000
Non-Operating Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY15,1900000
Non-Operating Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY16,342000
Non-Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY14,774000
Non-Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY15,-321000
Non-Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY16,643000
Non-Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY17,1240000
Non-Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY18,481000
Non-Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY14,13505332
Non-Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY15,14787837
Non-Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY16,10227438
Non-Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY17,9279926
Non-Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY18,19110683
Non-Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY14,1252473
Non-Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY15,-5215483
Non-Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY16,1056295
Non-Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY17,1811762
Non-Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY18,1218000
Non-Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY14,584745
Non-Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY15,589821
Non-Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY16,584907
Non-Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY17,974189
Non-Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY18,276000
Non-Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY14,1020254
Non-Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY15,169174
Non-Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY16,2905603
Non-Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY17,3891317
Non-Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY18,3211000
Non-Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY14,31974893
Non-Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY15,-11152887
Non-Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY16,25066207
Non-Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY17,44549494
Non-Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY18,52603000
Non-Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY14,-5883000
Non-Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY15,-34107000
Non-Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY16,-27335000
Non-Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY17,52995000
Non-Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY18,81307000
Non-Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY14,21986000
Non-Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY15,21705000
Non-Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY16,-9354000
Non-Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY17,15839000
Non-Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY18,11174000
Non-Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY14,-4000
Non-Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY15,127000
Non-Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY16,-111000
Non-Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY17,62000
Non-Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY18,157000
Non-Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY14,17000
Non-Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY15,-3016000
Non-Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY16,993000
Non-Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY17,3161000
Non-Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY18,-673000
Non-Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY14,6476921
Non-Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY15,10673972
Non-Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY16,12208789
Non-Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY17,16700285
Non-Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY18,10925889
Non-Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY14,4624351
Non-Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY15,5246816
Non-Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY16,5228576
Non-Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY17,4270489
Non-Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY18,8415467
Non-Operating Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY14,423000
Non-Operating Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY15,259000
Non-Operating Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY16,289000
Non-Operating Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY17,294000
Non-Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY14,1000
Non-Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY15,-74000
Non-Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY16,74000
Non-Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY17,4214000
Non-Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY18,2761000
Non-Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY14,78731266
Non-Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY15,53157087
Non-Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY16,88071001
Non-Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY17,141408734
Non-Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY18,164960819
Non-Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY14,851407
Non-Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY15,-1609448
Non-Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY16,-4150731
Non-Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY17,3526241
Non-Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY18,1123988
Non-Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY14,1038392
Non-Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY15,2225844
Non-Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY16,1140999
Non-Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY17,882754
Non-Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY18,2017803
Non-Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY14,3366272
Non-Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY15,1804281
Non-Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY16,3472202
Non-Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY17,5924835
Non-Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY18,4558075
Non-Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY14,3499026
Non-Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY15,2132444
Non-Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY16,2573537
Non-Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY17,4745107
Non-Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY18,4740906
Non-Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY14,2197880
Non-Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY15,-702475
Non-Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY16,1956568
Non-Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY17,3516251
Non-Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY18,2988000
Non-Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY14,1804949
Non-Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY15,-522174
Non-Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY16,1821768
Non-Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY17,2342644
Non-Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY18,1755697
Non-Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY14,660934
Non-Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY15,147230
Non-Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY16,990757
Non-Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY17,1600663
Non-Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY18,389683
Non-Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY14,950306
Non-Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY15,770799
Non-Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY16,862772
Non-Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY17,-6153345
Non-Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY18,1263577
Non-Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY14,1749000
Non-Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY15,134000
Non-Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY16,2327000
Non-Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY17,3076000
Non-Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY18,-1262000
Non-Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY14,11162806
Non-Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY15,-2865626
Non-Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY16,754754
Non-Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY17,-1836000
Non-Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY18,7742000
Non-Operating Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY14,1571000
Non-Operating Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY15,590000
Non-Operating Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY16,1628000
Non-Operating Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY17,2361000
Non-Operating Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY18,2420000
Non-Operating Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY14,3327000
Non-Operating Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY15,-1545000
Non-Operating Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY16,2522000
Non-Operating Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY17,4685000
Non-Operating Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY18,2743000
Non-Operating Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY14,5326097
Non-Operating Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY15,29505718
Non-Operating Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY16,9210210
Non-Operating Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY17,4911753
Non-Operating Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY18,11528000
Non-Operating Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY14,13286000
Non-Operating Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY15,-10173000
Non-Operating Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY16,-96000
Non-Operating Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY17,6957000
Non-Operating Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY18,-1746000
Non-Operating Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY14,9237000
Non-Operating Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY15,8970000
Non-Operating Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY16,7673000
Non-Operating Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY17,11645000
Non-Operating Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY18,8193000
Non-Operating Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY14,931673
Non-Operating Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY15,299348
Non-Operating Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY16,-313483
Non-Operating Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY17,2660998
Non-Operating Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY18,130120
Non-Operating Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY14,575522
Non-Operating Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY15,1029627
Non-Operating Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY16,2172750
Non-Operating Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY17,354648
Non-Operating Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY18,522407
Non-Operating Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY14,1350007
Non-Operating Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY15,635217
Non-Operating Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY16,1667774
Non-Operating Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY17,2070673
Non-Operating Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY18,2114596
