Name,ORGID ,FACID ,Cohort,DRG Name, DRG Discharges  
Massachusetts General Hospital,91,2168,Academic Medical Center,Craniotomy; exc Trauma,891
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,COPD,341
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Heart Failure,531
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Heart Failure,383
Milford Regional Medical Center,97,2105,Community Hospital,Other Pneumonia,305
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Degen Nrvs Syst exc MS,160
Mount Auburn Hospital,100,2071,Teaching Hospital,Other Pneumonia,347
Nantucket Cottage Hospital,101,2044,Community Hospital,Heart Failure,35
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Kidney & UT Infections,71
New England Baptist Hospital,103,2059,Specialty Hospital,Intervertebral Disc Excis,118
Newton-Wellesley Hospital,105,2075,Community Hospital,Knee Joint Replacement,641
North Shore Medical Center,345,2073,Community High Public Payer Hospital,COPD,525
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Heart Failure,656
Saint Vincent Hospital,127,2128,Teaching Hospital,Cesarean Delivery,556
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Bipolar Disorders,236
South Shore Hospital,122,2107,Community Hospital,Other Pneumonia,946
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Other Pneumonia,1183
Steward Carney Hospital,42,2003,Teaching Hospital,Bipolar Disorders,166
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Septicemia Infections,740
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Maj Depressive Disorders,473
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Septicemia Infections,342
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Bacterial Skin Infections,291
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Procedures For Obesity,399
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Heart Failure,321
Tufts Medical Center,104,2299,Academic Medical Center,Per Cardio procs w/o AMI,273
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Other Pneumonia,681
Winchester Hospital,138,2094,Community Hospital,Septicemia Infections,422
Anna Jaques Hospital,1,2006,Community Hospital,Cesarean Delivery,227
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Other Pneumonia,159
Baystate Medical Center,4,2339,Teaching Hospital,Per Cardio procs w/ AMI,690
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,COPD,84
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Cardiac Arrhythmia ,108
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Bipolar Disorders,508
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Bacterial Skin Infections,151
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Kidney & UT Infections,78
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,COPD,302
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Other Vascular Procs,486
Boston Children's Hospital ,46,2139,Specialty Hospital,Other Digestive System Dx,301
Boston Medical Center,3107,2307,Academic Medical Center,Procedures For Obesity,426
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Kidney & UT Infections,212
Brigham and Women's Hospital,22,2921,Academic Medical Center,Major Resp & Chest Proc,672
Cambridge Health Alliance,3108,2108,Teaching Hospital,Heart Failure,386
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Knee Joint Replacement,374
Cooley Dickinson Hospital,50,2155,Community Hospital,Knee Joint Replacement,190
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,Acute Leukemia,29
Emerson Hospital,57,2018,Community Hospital,Heart Failure,235
Fairview Hospital,8,2052,Community High Public Payer Hospital,Cesarean Delivery,35
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Kidney & UT Infections,152
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Other Pneumonia,160
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Renal Failure,219
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Bipolar Disorders,148
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Renal Failure,167
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Other Pneumonia,491
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Kidney & UT Infections,284
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Knee Joint Replacement,597
Marlborough Hospital,133,2103,Community High Public Payer Hospital,COPD,158
Martha's Vineyard Hospital,88,2042,Community Hospital,Other Pneumonia,53
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Craniotomy; exc Trauma,54
Massachusetts General Hospital,91,2168,Academic Medical Center,Chemotherapy,828
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Renal Failure,305
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Alcohol Abuse & Dependence,516
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Cesarean Delivery,382
Milford Regional Medical Center,97,2105,Community Hospital,Cesarean Delivery,298
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Kidney & UT Infections,150
Mount Auburn Hospital,100,2071,Teaching Hospital,Hip Joint Replacement,246
Nantucket Cottage Hospital,101,2044,Community Hospital,Other Pneumonia,30
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Maj Resp Infect & Inflam,68
New England Baptist Hospital,103,2059,Specialty Hospital,Oth Muscl Sys & Tis Proc,112
Newton-Wellesley Hospital,105,2075,Community Hospital,Heart Failure,487
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Other Pneumonia,508
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Bipolar Disorders,617
Saint Vincent Hospital,127,2128,Teaching Hospital,Hip Joint Replacement,544
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Bacterial Skin Infections,231
South Shore Hospital,122,2107,Community Hospital,COPD,842
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Cesarean Delivery,1022
Steward Carney Hospital,42,2003,Teaching Hospital,Bacterial Skin Infections,134
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Heart Failure,664
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Cesarean Delivery,427
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Vaginal Delivery,310
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Kidney & UT Infections,288
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Schizophrenia,388
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Bacterial Skin Infections,238
Tufts Medical Center,104,2299,Academic Medical Center,Seizure,265
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Per Cardio procs w/ AMI,538
Winchester Hospital,138,2094,Community Hospital,Knee Joint Replacement,368
Anna Jaques Hospital,1,2006,Community Hospital,Heart Failure,222
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Bipolar Disorders,145
Baystate Medical Center,4,2339,Teaching Hospital,COPD,650
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Other Pneumonia,77
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Schizophrenia,99
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Other Pneumonia,334
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Cardiac Arrhythmia ,150
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Cardiac Arrhythmia ,76
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Kidney & UT Infections,298
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Maj Sml & Lrg Bowel Procs,484
Boston Children's Hospital ,46,2139,Specialty Hospital,Diabetes,299
Boston Medical Center,3107,2307,Academic Medical Center,Sickle Cell Anemia Crisis,425
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Renal Failure,196
Brigham and Women's Hospital,22,2921,Academic Medical Center,Hip Joint Replacement,663
Cambridge Health Alliance,3108,2108,Teaching Hospital,Adjust Dis/Neuroses exc DD,368
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,CVA Occlusion w/ Infarct,353
Cooley Dickinson Hospital,50,2155,Community Hospital,Other Pneumonia,168
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,Knee Joint Replacement,209
Fairview Hospital,8,2052,Community High Public Payer Hospital,Oth Aftercare & Convalescence,34
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Alcohol Abuse & Dependence,135
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Depression exc MDD,117
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Bacterial Skin Infections,196
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Knee Joint Replacement,147
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Cardiac Arrhythmia ,152
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Knee Joint Replacement,455
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Bacterial Skin Infections,280
Lowell General Hospital,85,2040,Community High Public Payer Hospital,COPD,594
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Knee Joint Replacement,120
Martha's Vineyard Hospital,88,2042,Community Hospital,Kidney & UT Infections,45
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Other ENT & Cranial Dxs,47
Massachusetts General Hospital,91,2168,Academic Medical Center,Maj Sml & Lrg Bowel Procs,814
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Maj Depressive Disorders,248
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Septicemia Infections,461
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Schizophrenia,306
Milford Regional Medical Center,97,2105,Community Hospital,Pulm Edema & Resp Failure,265
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Pulm Edema & Resp Failure,143
Mount Auburn Hospital,100,2071,Teaching Hospital,Cardiac Arrhythmia ,243
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Hip Joint Replacement,57
New England Baptist Hospital,103,2059,Specialty Hospital,Knee & Lower Excpt Foot,99
Newton-Wellesley Hospital,105,2075,Community Hospital,Procedures For Obesity,314
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Cardiac Arrhythmia ,417
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Cesarean Delivery,594
Saint Vincent Hospital,127,2128,Teaching Hospital,Other Pneumonia,501
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Cesarean Delivery,227
South Shore Hospital,122,2107,Community Hospital,Kidney & UT Infections,745
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Cardiac Arrhythmia ,982
Steward Carney Hospital,42,2003,Teaching Hospital,Alcohol Abuse & Dependence,117
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Other Pneumonia,499
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,COPD,426
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Cardiac Arrhythmia ,308
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Org Mental Hlth Disturb,263
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Cesarean Delivery,337
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Knee Joint Replacement,225
Tufts Medical Center,104,2299,Academic Medical Center,Knee Joint Replacement,257
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Renal Failure,528
Winchester Hospital,138,2094,Community Hospital,Bacterial Skin Infections,299
Anna Jaques Hospital,1,2006,Community Hospital,Septicemia Infections,212
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Cesarean Delivery,111
Baystate Medical Center,4,2339,Teaching Hospital,Hip Joint Replacement,616
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Bacterial Skin Infections,77
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Pulm Edema & Resp Failure,90
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Renal Failure,332
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Renal Failure,148
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,"Malf, Reac, Compl of Genitourinary Dev",73
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Hip Joint Replacement,280
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Per Cardio procs w/o AMI,478
Boston Children's Hospital ,46,2139,Specialty Hospital,Maj HEM/IG Dx exc SC,298
Boston Medical Center,3107,2307,Academic Medical Center,Other Pneumonia,376
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,COPD,188
Brigham and Women's Hospital,22,2921,Academic Medical Center,Septicemia Infections,628
Cambridge Health Alliance,3108,2108,Teaching Hospital,Alcohol Abuse & Dependence,324
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Bipolar Disorders,353
Cooley Dickinson Hospital,50,2155,Community Hospital,Cardiac Arrhythmia ,168
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,Bipolar Disorders,165
Fairview Hospital,8,2052,Community High Public Payer Hospital,Pulm Edema & Resp Failure,31
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Other Pneumonia,131
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Pulm Edema & Resp Failure,112
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Cesarean Delivery,195
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Adjust Dis/Neuroses exc DD,144
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Bacterial Skin Infections,149
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Per Cardio procs w/o AMI,434
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Other Pneumonia,267
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Bacterial Skin Infections,452
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Kidney & UT Infections,115
Martha's Vineyard Hospital,88,2042,Community Hospital,Factors Influ Hlth Status,43
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Eye Procs except Orbit,46
Massachusetts General Hospital,91,2168,Academic Medical Center,Hip Joint Replacement,803
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Cardiac Arrhythmia ,245
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Bipolar Disorders,410
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Cardiac Arrhythmia ,224
Milford Regional Medical Center,97,2105,Community Hospital,Cardiac Arrhythmia ,241
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Bacterial Skin Infections,143
Mount Auburn Hospital,100,2071,Teaching Hospital,Knee Joint Replacement,242
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Bacterial Skin Infections,56
New England Baptist Hospital,103,2059,Specialty Hospital,D & L Fusion for Curvature,81
Newton-Wellesley Hospital,105,2075,Community Hospital,Other Pneumonia,271
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Kidney & UT Infections,412
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Other Pneumonia,568
Saint Vincent Hospital,127,2128,Teaching Hospital,Knee Joint Replacement,465
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Cardiac Arrhythmia ,226
South Shore Hospital,122,2107,Community Hospital,"Non-Bact Gastro, Nausea",542
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Bacterial Skin Infections,723
Steward Carney Hospital,42,2003,Teaching Hospital,Pulm Edema & Resp Failure,109
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,COPD,462
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Other Pneumonia,425
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Kidney & UT Infections,248
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Hip Joint Replacement,254
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Coronary Bypass w/o Card Cath,274
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Kidney & UT Infections,225
Tufts Medical Center,104,2299,Academic Medical Center,Cardiac Arrhythmia ,253
UMass Memorial Medical Center,3115,2841,Academic Medical Center,COPD,504
Winchester Hospital,138,2094,Community Hospital,COPD,292
Anna Jaques Hospital,1,2006,Community Hospital,Other Pneumonia,207
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Bacterial Skin Infections,110
Baystate Medical Center,4,2339,Teaching Hospital,Renal Failure,602
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Oth Disorders of Nervous Syst,75
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,COPD,82
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Knee Joint Replacement,307
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,COPD,135
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Renal Failure,72
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Cesarean Delivery,279
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Knee Joint Replacement,473
Boston Children's Hospital ,46,2139,Specialty Hospital,Oth Cardiothoracic Procs,294
Boston Medical Center,3107,2307,Academic Medical Center,COPD,367
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Other Pneumonia,184
Brigham and Women's Hospital,22,2921,Academic Medical Center,Per Cardio procs w/o AMI,585
Cambridge Health Alliance,3108,2108,Teaching Hospital,Cesarean Delivery,293
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Other Pneumonia,316
Cooley Dickinson Hospital,50,2155,Community Hospital,Bipolar Disorders,168
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,Cardiac Arrhythmia ,161
Fairview Hospital,8,2052,Community High Public Payer Hospital,Cardiac Arrhythmia ,27
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Renal Failure,127
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Bacterial Skin Infections,108
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Cardiac Arrhythmia ,173
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Septicemia Infections,137
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Other Pneumonia,148
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Maj Sml & Lrg Bowel Procs,429
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Cardiac Arrhythmia ,237
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Renal Failure,445
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Bacterial Skin Infections,86
Martha's Vineyard Hospital,88,2042,Community Hospital,Hip Joint Replacement,42
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Other Nervous Syst Procs,42
Massachusetts General Hospital,91,2168,Academic Medical Center,Knee Joint Replacement,779
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Cesarean Delivery,245
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Other Pneumonia,379
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Depression exc MDD,213
Milford Regional Medical Center,97,2105,Community Hospital,Kidney & UT Infections,219
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Renal Failure,143
Mount Auburn Hospital,100,2071,Teaching Hospital,Kidney & UT Infections,227
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Maj Depressive Disorders,51
New England Baptist Hospital,103,2059,Specialty Hospital,"Proc W Diag Of Rehab, Aftercare ",40
Newton-Wellesley Hospital,105,2075,Community Hospital,Cardiac Arrhythmia ,249
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Bacterial Skin Infections,363
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Hip Joint Replacement,558
Saint Vincent Hospital,127,2128,Teaching Hospital,Bacterial Skin Infections,410
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Knee Joint Replacement,224
South Shore Hospital,122,2107,Community Hospital,Bacterial Skin Infections,516
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Procedures For Obesity,648
Steward Carney Hospital,42,2003,Teaching Hospital,Renal Failure,103
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Cesarean Delivery,405
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Schizophrenia,411
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Bacterial Skin Infections,243
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Renal Failure,219
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Per Cardio procs w/o AMI,271
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Cesarean Delivery,209
Tufts Medical Center,104,2299,Academic Medical Center,Bacterial Skin Infections,250
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Pulm Edema & Resp Failure,466
Winchester Hospital,138,2094,Community Hospital,Hip Joint Replacement,253
Anna Jaques Hospital,1,2006,Community Hospital,Hip Joint Replacement,158
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Schizophrenia,107
Baystate Medical Center,4,2339,Teaching Hospital,CVA Occlusion w/ Infarct,592
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Oth Aftercare & Convalescence,63
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Renal Failure,82
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Alcohol Abuse & Dependence,297
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Kidney & UT Infections,134
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,CVA Occlusion w/ Infarct,62
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Renal Failure,270
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Renal Failure,450
Boston Children's Hospital ,46,2139,Specialty Hospital,Asthma,289
Boston Medical Center,3107,2307,Academic Medical Center,Knee Joint Replacement,361
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Opioid Abuse & Dependence,179
Brigham and Women's Hospital,22,2921,Academic Medical Center,Chemotherapy,522
Cambridge Health Alliance,3108,2108,Teaching Hospital,COPD,257
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Pulm Edema & Resp Failure,283
Cooley Dickinson Hospital,50,2155,Community Hospital,Pulm Edema & Resp Failure,161
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,Hip Joint Replacement,148
Fairview Hospital,8,2052,Community High Public Payer Hospital,Hip Joint Replacement,26
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Cesarean Delivery,126
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Kidney & UT Infections,108
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Kidney & UT Infections,167
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Schizophrenia,136
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Procedures For Obesity,137
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Infectious & Parasitic Dis incl HIV w O.R. Proc,374
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Renal Failure,209
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Hip Joint Replacement,397
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Renal Failure,80
Martha's Vineyard Hospital,88,2042,Community Hospital,Heart Failure,33
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,"Ear, Nose, Mouth, Throat, Cran/Fac Malig",41
Massachusetts General Hospital,91,2168,Academic Medical Center,Cardiac Arrhythmia ,727
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Knee Joint Replacement,202
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,COPD,370
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Other Pneumonia,183
Milford Regional Medical Center,97,2105,Community Hospital,Renal Failure,206
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Oth & Unsp Gastro Hemorrhage,109
Mount Auburn Hospital,100,2071,Teaching Hospital,COPD,224
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Renal Failure,44
New England Baptist Hospital,103,2059,Specialty Hospital,,
Newton-Wellesley Hospital,105,2075,Community Hospital,Kidney & UT Infections,229
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Cesarean Delivery,354
Northeast Hospital,3112,2007,Community High Public Payer Hospital,COPD,437
Saint Vincent Hospital,127,2128,Teaching Hospital,Cardiac Arrhythmia ,352
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Other Pneumonia,199
South Shore Hospital,122,2107,Community Hospital,Cardiac Arrhythmia ,501
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Renal Failure,589
Steward Carney Hospital,42,2003,Teaching Hospital,Poisoning of Medicinal Agents,103
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Kidney & UT Infections,356
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Knee Joint Replacement,287
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Renal Failure,224
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Cardiac Arrhythmia ,217
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Other Vascular Procs,258
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Renal Failure,178
Tufts Medical Center,104,2299,Academic Medical Center,D & L Fusion exc Curvature,242
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Infectious & Parasitic Dis incl HIV w O.R. Proc,466
Winchester Hospital,138,2094,Community Hospital,Diverticulitis/osis,210
Anna Jaques Hospital,1,2006,Community Hospital,Kidney & UT Infections,153
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Cardiac Arrhythmia ,95
